edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
2006 Winter Olympics,49,BLR,Cross Country Skiing,"Sprint, Women",2162,Katsiaryna Rudakova-Bulavka,109803,51,,False
2006 Winter Olympics,49,BLR,Cross Country Skiing,"Sprint, Women",2162,Volha Vasilionak,109805,25,,False
2006 Winter Olympics,49,BLR,Cross Country Skiing,"Sprint, Women",2162,Viktoryia Lopatina,101641,21,,False
2006 Winter Olympics,49,BLR,Cross Country Skiing,"Team Sprint, Men",2152,Aliaksandr Lazutkin,110074,DNS,,True
2006 Winter Olympics,49,BLR,Cross Country Skiing,"Team Sprint, Men",2152,Siarhei Dalidovich,85250,DNS,,True
2006 Winter Olympics,49,BLR,Cross Country Skiing,"50 kilometres, Men",2134,Aliaksandr Lazutkin,110074,40,,False
2006 Winter Olympics,49,BLR,Biathlon,"4 × 6 kilometres Relay, Women",1611,Alena Zubrilava,81976,4,,True
2006 Winter Olympics,49,BLR,Cross Country Skiing,"15 kilometres, Men",2130,Aliaksandr Lazutkin,110074,15,,False
2006 Winter Olympics,49,BLR,Cross Country Skiing,"Sprint, Men",2135,Aliaksandr Lazutkin,110074,52,,False
2006 Winter Olympics,49,BLR,Biathlon,"4 × 6 kilometres Relay, Women",1611,Liudmila Ananka,101190,4,,True
2006 Winter Olympics,49,BLR,Biathlon,"15 kilometres, Women",1608,Kseniya Zikunkova,101173,76,,False
2006 Winter Olympics,49,BLR,Biathlon,"4 × 6 kilometres Relay, Women",1611,Katsiaryna Ivanova,110012,4,,True
2006 Winter Olympics,49,BLR,Cross Country Skiing,"50 kilometres, Men",2134,Siarhei Dalidovich,85250,12,,False
2006 Winter Olympics,49,BLR,Biathlon,"4 × 6 kilometres Relay, Women",1611,Volha Nazarava,101162,4,,True
2006 Winter Olympics,49,SUI,Cross Country Skiing,"Sprint, Women",2162,Laurence Rochat,101315,15,,False
2006 Winter Olympics,49,BLR,Biathlon,"15 kilometres, Women",1608,Katsiaryna Ivanova,110012,44,,False
2006 Winter Olympics,49,MAD,Alpine Skiing,"Giant Slalom, Men",1490,Mathieu Razanakolona,110829,39,,False
2006 Winter Olympics,49,MAD,Alpine Skiing,"Slalom, Men",1493,Mathieu Razanakolona,110829,DNF,,False
2006 Winter Olympics,49,MGL,Cross Country Skiing,"15 kilometres, Men",2130,Khürelbaataryn Khash-Erdene,110693,85,,False
2006 Winter Olympics,49,MGL,Cross Country Skiing,"10 kilometres, Women",2157,Erdene-Ochiryn Ochirsüren,110405,68,,False
2006 Winter Olympics,49,EST,Ski Jumping,"Large Hill, Individual, Men",2466,Jaan Jüris,101157,48 r1/2,,False
2006 Winter Olympics,49,EST,Ski Jumping,"Large Hill, Individual, Men",2466,Jens Salumäe,99987,23,,False
2006 Winter Olympics,49,EST,Ski Jumping,"Normal Hill, Individual, Men",2461,Jaan Jüris,101157,50,,False
2006 Winter Olympics,49,EST,Ski Jumping,"Normal Hill, Individual, Men",2461,Jens Salumäe,99987,32,,False
2006 Winter Olympics,49,EST,Nordic Combined,"Sprint, Men",2339,Tambet Pikkor,99991,32,,False
2006 Winter Olympics,49,EST,Nordic Combined,"Individual, Men",2334,Tambet Pikkor,99991,33,,False
2006 Winter Olympics,49,EST,Figure Skating,"Pairs, Mixed",14386,Aleksei Saks,109748,17,,True
2006 Winter Olympics,49,EST,Figure Skating,"Pairs, Mixed",14386,Diana Rennik,109762,17,,True
2006 Winter Olympics,49,EST,Figure Skating,"Singles, Women",14383,Jelena Glebova,110860,28 r1/2,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"Team Sprint, Women",2179,Kaili Sirge,110063,15,,True
2006 Winter Olympics,49,EST,Cross Country Skiing,"Team Sprint, Women",2179,Piret Pormeister,110062,15,,True
2006 Winter Olympics,49,EST,Cross Country Skiing,"4 × 5 kilometres Relay, Women",2175,Tatjana Mannima,110412,17,,True
2006 Winter Olympics,49,EST,Cross Country Skiing,"4 × 5 kilometres Relay, Women",2175,Kaili Sirge,110063,17,,True
2006 Winter Olympics,49,CAN,Ice Hockey,"Ice Hockey, Men",20848,Marty Turco,1005308,7,,True
2006 Winter Olympics,49,EST,Cross Country Skiing,"4 × 5 kilometres Relay, Women",2175,Silja Suija,82492,17,,True
2006 Winter Olympics,49,CAN,Ice Hockey,"Ice Hockey, Men",20848,Joe Thornton,110531,7,,True
2006 Winter Olympics,49,CAN,Ice Hockey,"Ice Hockey, Men",20848,Ryan Smyth,102203,7,,True
2006 Winter Olympics,49,NZL,Curling,"Curling, Men",2667,Dan Mustapic,110148,10,,True
2006 Winter Olympics,49,NZL,Curling,"Curling, Men",2667,Hans Frauenlob,110147,10,,True
2006 Winter Olympics,49,NZL,Curling,"Curling, Men",2667,Warren Dobson,110980,10,,True
2006 Winter Olympics,49,NZL,Curling,"Curling, Men",2667,Lorne DePape,110149,10,,True
2006 Winter Olympics,49,NZL,Curling,"Curling, Men",2667,Sean Becker,110146,10,,True
2006 Winter Olympics,49,NZL,Bobsleigh,"Four, Men",467,Matt Dallow,110668,DNS,,True
2006 Winter Olympics,49,NZL,Bobsleigh,"Four, Men",467,Steve Harrison,101946,DNS,,True
2006 Winter Olympics,49,NZL,Bobsleigh,"Four, Men",467,Aaron Orangi,1005129,DNS,,True
2006 Winter Olympics,49,NZL,Bobsleigh,"Four, Men",467,Alan Henderson,99966,DNS,,True
2006 Winter Olympics,49,NZL,Bobsleigh,"Two, Men",460,Matt Dallow,110668,23,,True
2006 Winter Olympics,49,NZL,Bobsleigh,"Two, Men",460,Alan Henderson,99966,23,,True
2006 Winter Olympics,49,NZL,Alpine Skiing,"Slalom, Women",1507,Erika McLeod,110910,40,,False
2006 Winter Olympics,49,NZL,Alpine Skiing,"Slalom, Women",1507,Nicola Campbell,110908,35,,False
2006 Winter Olympics,49,NZL,Alpine Skiing,"Giant Slalom, Women",1504,Erika McLeod,110910,DNF,,False
2006 Winter Olympics,49,NZL,Alpine Skiing,"Giant Slalom, Women",1504,Nicola Campbell,110908,DNF,,False
2006 Winter Olympics,49,NZL,Alpine Skiing,"Slalom, Men",1493,Mickey Ross,111045,31,,False
2006 Winter Olympics,49,CAN,Ice Hockey,"Ice Hockey, Men",20848,Joe Sakic,100552,7,,True
2006 Winter Olympics,49,CAN,Ice Hockey,"Ice Hockey, Men",20848,Martin St. Louis,110534,7,,True
2006 Winter Olympics,49,BLR,Cross Country Skiing,"10 kilometres, Women",2157,Alena Sannikova,109798,29,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"4 × 5 kilometres Relay, Women",2175,Piret Pormeister,110062,17,,True
2006 Winter Olympics,49,EST,Cross Country Skiing,"30 kilometres, Women",2161,Kaili Sirge,110063,DNF,,False
2006 Winter Olympics,49,BLR,Biathlon,"20 kilometres, Men",1600,Aliaksandr Syman,101376,71,,False
2006 Winter Olympics,49,BLR,Biathlon,"4 × 7.5 kilometres Relay, Men",1603,Aliaksandr Syman,101376,11,,True
2006 Winter Olympics,49,BLR,Biathlon,"4 × 7.5 kilometres Relay, Men",1603,Siarhei Novikau,109615,11,,True
2006 Winter Olympics,49,BLR,Biathlon,"4 × 7.5 kilometres Relay, Men",1603,Rustam Valiulin,101211,11,,True
2006 Winter Olympics,49,BLR,Biathlon,"4 × 7.5 kilometres Relay, Men",1603,Aleh Ryzhankou,97038,11,,True
2006 Winter Olympics,49,BLR,Biathlon,"7.5 kilometres Sprint, Women",1607,Alena Zubrilava,81976,5,,False
2006 Winter Olympics,49,BLR,Biathlon,"7.5 kilometres Sprint, Women",1607,Volha Nazarava,101162,8,,False
2006 Winter Olympics,49,BLR,Biathlon,"7.5 kilometres Sprint, Women",1607,Katsiaryna Ivanova,110012,37,,False
2006 Winter Olympics,49,BLR,Biathlon,"7.5 kilometres Sprint, Women",1607,Liudmila Ananka,101190,42,,False
2006 Winter Olympics,49,BLR,Biathlon,"10 kilometres Pursuit, Women",1609,Volha Nazarava,101162,7,,False
2006 Winter Olympics,49,BLR,Biathlon,"10 kilometres Pursuit, Women",1609,Alena Zubrilava,81976,25,,False
2006 Winter Olympics,49,BLR,Biathlon,"10 kilometres Pursuit, Women",1609,Katsiaryna Ivanova,110012,29,,False
2006 Winter Olympics,49,BLR,Biathlon,"10 kilometres Pursuit, Women",1609,Liudmila Ananka,101190,DNF,,False
2006 Winter Olympics,49,BLR,Biathlon,"12.5 kilometres Mass Start, Women",1610,Volha Nazarava,101162,6,,False
2006 Winter Olympics,49,BLR,Biathlon,"12.5 kilometres Mass Start, Women",1610,Alena Zubrilava,81976,16,,False
2006 Winter Olympics,49,BLR,Biathlon,"15 kilometres, Women",1608,Volha Nazarava,101162,7,,False
2006 Winter Olympics,49,BLR,Biathlon,"15 kilometres, Women",1608,Alena Zubrilava,81976,14,,False
2006 Winter Olympics,49,BLR,Biathlon,"20 kilometres, Men",1600,Rustam Valiulin,101211,46,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"15 kilometres Skiathlon, Women",2158,Kristina Šmigun,82400,1,Gold,False
2006 Winter Olympics,49,BLR,Biathlon,"20 kilometres, Men",1600,Uladzimir Drachou,85293,43,,False
2006 Winter Olympics,49,BLR,Biathlon,"12.5 kilometres Pursuit, Men",1601,Siarhei Novikau,109615,30,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"30 kilometres, Women",2161,Tatjana Mannima,110412,41,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"30 kilometres, Women",2161,Kristina Šmigun,82400,8,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"10 kilometres, Women",2157,Kaili Sirge,110063,56,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"10 kilometres, Women",2157,Tatjana Mannima,110412,51,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"10 kilometres, Women",2157,Silja Suija,82492,49,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"10 kilometres, Women",2157,Kristina Šmigun,82400,1,Gold,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"Sprint, Women",2162,Piret Pormeister,110062,54,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"Sprint, Women",2162,Kaili Sirge,110063,=47,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"Sprint, Women",2162,Tatjana Mannima,110412,41,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"Team Sprint, Men",2152,Anti Saarepuu,110065,14,,True
2006 Winter Olympics,49,EST,Cross Country Skiing,"Team Sprint, Men",2152,Priit Narusk,101338,14,,True
2006 Winter Olympics,49,BLR,Biathlon,"10 kilometres Sprint, Men",1599,Rustam Valiulin,101211,24,,False
2006 Winter Olympics,49,BLR,Biathlon,"10 kilometres Sprint, Men",1599,Aleh Ryzhankou,97038,28,,False
2006 Winter Olympics,49,BLR,Biathlon,"10 kilometres Sprint, Men",1599,Siarhei Novikau,109615,30,,False
2006 Winter Olympics,49,BLR,Biathlon,"10 kilometres Sprint, Men",1599,Uladzimir Drachou,85293,61,,False
2006 Winter Olympics,49,BLR,Biathlon,"12.5 kilometres Pursuit, Men",1601,Rustam Valiulin,101211,26,,False
2006 Winter Olympics,49,BLR,Biathlon,"12.5 kilometres Pursuit, Men",1601,Aleh Ryzhankou,97038,27,,False
2006 Winter Olympics,49,BLR,Biathlon,"20 kilometres, Men",1600,Siarhei Novikau,109615,24,,False
2006 Winter Olympics,49,BLR,Cross Country Skiing,"10 kilometres, Women",2157,Liudmila Karolik,100045,30,,False
2006 Winter Olympics,49,BLR,Cross Country Skiing,"15 kilometres Skiathlon, Women",2158,Liudmila Karolik,100045,44,,False
2006 Winter Olympics,49,BLR,Cross Country Skiing,"30 kilometres, Women",2161,Volha Vasilionak,109805,34,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"Sprint, Men",2135,Priit Narusk,101338,41,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"Sprint, Men",2135,Peeter Kümmel,110936,38,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"Sprint, Men",2135,Anti Saarepuu,110065,8,,False
2006 Winter Olympics,49,EST,Biathlon,"15 kilometres, Women",1608,Eveli Saue,109998,73,,False
2006 Winter Olympics,49,EST,Biathlon,"10 kilometres Pursuit, Women",1609,Eveli Saue,109998,DNF,,False
2006 Winter Olympics,49,EST,Biathlon,"7.5 kilometres Sprint, Women",1607,Eveli Saue,109998,47,,False
2006 Winter Olympics,49,EST,Biathlon,"4 × 7.5 kilometres Relay, Men",1603,Priit Viks,109654,15,,True
2006 Winter Olympics,49,EST,Biathlon,"4 × 7.5 kilometres Relay, Men",1603,Roland Lessing,101206,15,,True
2006 Winter Olympics,49,EST,Biathlon,"4 × 7.5 kilometres Relay, Men",1603,Indrek Tobreluts,99617,15,,True
2006 Winter Olympics,49,EST,Biathlon,"4 × 7.5 kilometres Relay, Men",1603,Dimitri Borovik,99618,15,,True
2006 Winter Olympics,49,EST,Biathlon,"20 kilometres, Men",1600,Priit Viks,109654,74,,False
2006 Winter Olympics,49,EST,Biathlon,"20 kilometres, Men",1600,Dimitri Borovik,99618,70,,False
2006 Winter Olympics,49,EST,Biathlon,"20 kilometres, Men",1600,Indrek Tobreluts,99617,66,,False
2006 Winter Olympics,49,EST,Biathlon,"20 kilometres, Men",1600,Roland Lessing,101206,62,,False
2006 Winter Olympics,49,EST,Biathlon,"12.5 kilometres Pursuit, Men",1601,Roland Lessing,101206,51,,False
2006 Winter Olympics,49,EST,Biathlon,"12.5 kilometres Pursuit, Men",1601,Indrek Tobreluts,99617,43,,False
2006 Winter Olympics,49,EST,Biathlon,"10 kilometres Sprint, Men",1599,Janno Prants,99616,75,,False
2006 Winter Olympics,49,ROU,Short Track Speed Skating,"500 metres, Women",896,Katalin Kristo,101412,23,,False
2006 Winter Olympics,49,ROU,Short Track Speed Skating,"1,000 metres, Women",916,Katalin Kristo,101412,22,,False
2006 Winter Olympics,49,ROU,Short Track Speed Skating,"1,500 metres, Women",936,Katalin Kristo,101412,18,,False
2006 Winter Olympics,49,ROU,Speed Skating,"5,000 metres, Men",1127,Claudiu Grozea,109671,26,,False
2006 Winter Olympics,49,ROU,Speed Skating,"1,000 metres, Women",1147,Daniela Oltean,100982,35,,False
2006 Winter Olympics,49,ROU,Speed Skating,"1,500 metres, Women",1148,Daniela Oltean,100982,35,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"Sprint, Men",2135,Aivar Rehemaa,109838,54,,False
2006 Winter Olympics,49,ROU,Speed Skating,"3,000 metres, Women",1149,Daniela Oltean,100982,26,,False
2006 Winter Olympics,49,EST,Alpine Skiing,"Slalom, Men",1493,Deyvid Oprja,110828,DNS,,False
2006 Winter Olympics,49,EST,Alpine Skiing,"Giant Slalom, Women",1504,Tiiu Nurmberg,110911,34,,False
2006 Winter Olympics,49,EST,Alpine Skiing,"Slalom, Women",1507,Tiiu Nurmberg,110911,44,,False
2006 Winter Olympics,49,EST,Biathlon,"10 kilometres Sprint, Men",1599,Indrek Tobreluts,99617,40,,False
2006 Winter Olympics,49,EST,Biathlon,"10 kilometres Sprint, Men",1599,Roland Lessing,101206,58,,False
2006 Winter Olympics,49,EST,Biathlon,"10 kilometres Sprint, Men",1599,Dimitri Borovik,99618,73,,False
2006 Winter Olympics,49,EST,Alpine Skiing,"Giant Slalom, Men",1490,Deyvid Oprja,110828,DNF,,False
2006 Winter Olympics,49,ROU,Luge,"Doubles, Open",219,Ionuț Țăran,110303,18,,True
2006 Winter Olympics,49,EST,Cross Country Skiing,"15 kilometres, Men",2130,Andrus Veerpalu,98596,1,Gold,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"15 kilometres, Men",2130,Kaspar Kokk,109836,35,,False
2006 Winter Olympics,49,CAN,Speed Skating,"500 metres, Women",1144,Kerry Simpson,110119,21,,False
2006 Winter Olympics,49,CAN,Speed Skating,"500 metres, Women",1144,Krisy Myers,110115,22,,False
2006 Winter Olympics,49,CAN,Speed Skating,"500 metres, Women",1144,Kim Weger,110116,26,,False
2006 Winter Olympics,49,CAN,Speed Skating,"1,000 metres, Women",1147,Cindy Klassen,100967,2,Silver,False
2006 Winter Olympics,49,CAN,Speed Skating,"1,000 metres, Women",1147,Kristina Groves,100968,5,,False
2006 Winter Olympics,49,CAN,Speed Skating,"1,000 metres, Women",1147,Christine Nesbitt,110377,14,,False
2006 Winter Olympics,49,CAN,Speed Skating,"1,000 metres, Women",1147,Shannon Rempel,110127,24,,False
2006 Winter Olympics,49,CAN,Speed Skating,"1,500 metres, Women",1148,Cindy Klassen,100967,1,Gold,False
2006 Winter Olympics,49,CAN,Speed Skating,"1,500 metres, Women",1148,Kristina Groves,100968,2,Silver,False
2006 Winter Olympics,49,CAN,Speed Skating,"1,500 metres, Women",1148,Christine Nesbitt,110377,7,,False
2006 Winter Olympics,49,CAN,Speed Skating,"1,500 metres, Women",1148,Shannon Rempel,110127,28,,False
2006 Winter Olympics,49,CAN,Speed Skating,"3,000 metres, Women",1149,Cindy Klassen,100967,3,Bronze,False
2006 Winter Olympics,49,CAN,Speed Skating,"3,000 metres, Women",1149,Kristina Groves,100968,8,,False
2006 Winter Olympics,49,CAN,Speed Skating,"3,000 metres, Women",1149,Clara Hughes,13139,9,,False
2006 Winter Olympics,49,CAN,Speed Skating,"5,000 metres, Women",1150,Clara Hughes,13139,1,Gold,False
2006 Winter Olympics,49,CAN,Speed Skating,"5,000 metres, Women",1150,Cindy Klassen,100967,3,Bronze,False
2006 Winter Olympics,49,CAN,Speed Skating,"5,000 metres, Women",1150,Kristina Groves,100968,6,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"15 kilometres, Men",2130,Priit Narusk,101338,45,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"50 kilometres, Men",2134,Aivar Rehemaa,109838,35,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"30 kilometres Skiathlon, Men",2131,Kaspar Kokk,109836,19,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"30 kilometres Skiathlon, Men",2131,Aivar Rehemaa,109838,32,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"4 × 10 kilometres Relay, Men",2148,Aivar Rehemaa,109838,8,,True
2006 Winter Olympics,49,EST,Cross Country Skiing,"4 × 10 kilometres Relay, Men",2148,Andrus Veerpalu,98596,8,,True
2006 Winter Olympics,49,EST,Cross Country Skiing,"15 kilometres, Men",2130,Jaak Mae,92041,5,,False
2006 Winter Olympics,49,EST,Cross Country Skiing,"4 × 10 kilometres Relay, Men",2148,Jaak Mae,92041,8,,True
2006 Winter Olympics,49,RUS,Ice Hockey,"Ice Hockey, Men",20848,Ilya Bryzgalov,110599,4,,True
2006 Winter Olympics,49,CAN,Speed Skating,"Team Pursuit (6 laps), Women",1151,Shannon Rempel,110127,2,Silver,True
2006 Winter Olympics,49,CAN,Speed Skating,"Team Pursuit (6 laps), Women",1151,Christine Nesbitt,110377,2,Silver,True
2006 Winter Olympics,49,CAN,Speed Skating,"Team Pursuit (6 laps), Women",1151,Cindy Klassen,100967,2,Silver,True
2006 Winter Olympics,49,CAN,Speed Skating,"Team Pursuit (6 laps), Women",1151,Clara Hughes,13139,2,Silver,True
2006 Winter Olympics,49,CAN,Speed Skating,"Team Pursuit (6 laps), Women",1151,Kristina Groves,100968,2,Silver,True
2006 Winter Olympics,49,EST,Cross Country Skiing,"4 × 10 kilometres Relay, Men",2148,Kaspar Kokk,109836,8,,True
2006 Winter Olympics,49,CAN,Speed Skating,"500 metres, Women",1144,Shannon Rempel,110127,16,,False
2006 Winter Olympics,49,ROU,Luge,"Doubles, Open",219,Cosmin Chetroiu,110302,18,,True
2006 Winter Olympics,49,ROU,Luge,"Doubles, Open",219,Eugen Radu,101276,15,,True
2006 Winter Olympics,49,ROU,Biathlon,"4 × 6 kilometres Relay, Women",1611,Alexandra Rusu,101390,14,,True
2006 Winter Olympics,49,ROU,Biathlon,"4 × 6 kilometres Relay, Women",1611,Mihaela Purdea,110031,14,,True
2006 Winter Olympics,49,ROU,Biathlon,"4 × 6 kilometres Relay, Women",1611,Eva Tofalvi,99564,14,,True
2006 Winter Olympics,49,ROU,Biathlon,"4 × 6 kilometres Relay, Women",1611,Dana Plotogea,101183,14,,True
2006 Winter Olympics,49,ROU,Biathlon,"15 kilometres, Women",1608,Mihaela Purdea,110031,75,,False
2006 Winter Olympics,49,ROU,Biathlon,"15 kilometres, Women",1608,Dana Plotogea,101183,72,,False
2006 Winter Olympics,49,ROU,Biathlon,"15 kilometres, Women",1608,Alexandra Rusu,101390,68,,False
2006 Winter Olympics,49,ROU,Biathlon,"15 kilometres, Women",1608,Eva Tofalvi,99564,19,,False
2006 Winter Olympics,49,ROU,Biathlon,"10 kilometres Pursuit, Women",1609,Alexandra Rusu,101390,DNF,,False
2006 Winter Olympics,49,ROU,Biathlon,"10 kilometres Pursuit, Women",1609,Dana Plotogea,101183,33,,False
2006 Winter Olympics,49,ROU,Biathlon,"7.5 kilometres Sprint, Women",1607,Mihaela Purdea,110031,77,,False
2006 Winter Olympics,49,ROU,Biathlon,"7.5 kilometres Sprint, Women",1607,Eva Tofalvi,99564,70,,False
2006 Winter Olympics,49,ROU,Biathlon,"7.5 kilometres Sprint, Women",1607,Dana Plotogea,101183,48,,False
2006 Winter Olympics,49,ROU,Biathlon,"7.5 kilometres Sprint, Women",1607,Alexandra Rusu,101390,45,,False
2006 Winter Olympics,49,ROU,Biathlon,"20 kilometres, Men",1600,Marian Blaj,101207,65,,False
2006 Winter Olympics,49,ROU,Biathlon,"10 kilometres Sprint, Men",1599,Marian Blaj,101207,76,,False
2006 Winter Olympics,49,ROU,Alpine Skiing,"Giant Slalom, Women",1504,Bianca Narea,110985,DNF,,False
2006 Winter Olympics,49,SWE,Snowboarding,"Cross, Men",1726,Mattias Blomberg,110473,28,,False
2006 Winter Olympics,49,SWE,Snowboarding,"Parallel Giant Slalom, Women",1752,Aprilia Hägglöf,110967,16,,False
2006 Winter Olympics,49,SWE,Snowboarding,"Parallel Giant Slalom, Women",1752,Sara Fischer,101484,DNF,,False
2006 Winter Olympics,49,SWE,Snowboarding,"Halfpipe, Women",1779,Anna Olofsson,109975,22,,False
2006 Winter Olympics,49,SWE,Snowboarding,"Cross, Women",1786,Maria Danielsson,110953,6,,False
2006 Winter Olympics,49,SWE,Speed Skating,"500 metres, Men",1122,Eric Zachrisson,110040,20,,False
2006 Winter Olympics,49,ROU,Bobsleigh,"Two, Men",460,Nicolae Istrate,110659,24,,True
2006 Winter Olympics,49,SWE,Speed Skating,"1,000 metres, Men",1125,Eric Zachrisson,110040,DQ,,False
2006 Winter Olympics,49,SWE,Speed Skating,"5,000 metres, Men",1127,Johan Röjler,100961,12,,False
2006 Winter Olympics,49,SWE,Speed Skating,"10,000 metres, Men",1128,Johan Röjler,100961,10,,False
2006 Winter Olympics,49,MON,Bobsleigh,"Two, Men",460,Jérémy Bottin,110665,12,,True
2006 Winter Olympics,49,VEN,Luge,"Singles, Men",212,Werner Hoeger,101273,32,,False
2006 Winter Olympics,49,ROU,Alpine Skiing,"Downhill, Men",1487,Florentin Nicolae,109902,53,,False
2006 Winter Olympics,49,ROU,Alpine Skiing,"Combined, Men",1496,Florentin Nicolae,109902,35,,False
2006 Winter Olympics,49,SWE,Speed Skating,"1,500 metres, Men",1126,Johan Röjler,100961,33,,False
2006 Winter Olympics,49,ROU,Luge,"Doubles, Open",219,Marian Lăzărescu,110304,15,,True
2006 Winter Olympics,49,ROU,Bobsleigh,"Two, Men",460,Adrian Duminicel,101915,24,,True
2006 Winter Olympics,49,ROU,Bobsleigh,"Two, Men",460,Levente Bartha,110667,26,,True
2006 Winter Olympics,49,ROU,Figure Skating,"Singles, Women",14383,Roxana Luca,101856,26 r1/2,,False
2006 Winter Olympics,49,ROU,Figure Skating,"Singles, Men",14380,Gheorghe Chiper,101979,14,,False
2006 Winter Olympics,49,ROU,Cross Country Skiing,"15 kilometres Skiathlon, Women",2158,Monika Gyorgy,110409,59,,False
2006 Winter Olympics,49,ROU,Cross Country Skiing,"30 kilometres, Women",2161,Monika Gyorgy,110409,50,,False
2006 Winter Olympics,49,ROU,Cross Country Skiing,"10 kilometres, Women",2157,Monika Gyorgy,110409,60,,False
2006 Winter Olympics,49,ROU,Cross Country Skiing,"Sprint, Women",2162,Monika Gyorgy,110409,59,,False
2006 Winter Olympics,49,SCG,Figure Skating,"Singles, Men",14380,Trifun Živanović,110133,26 r1/2,,False
2006 Winter Olympics,49,SCG,Cross Country Skiing,"15 kilometres Skiathlon, Women",2158,Branka Kuzeljević,109815,DNF,,False
2006 Winter Olympics,49,SCG,Cross Country Skiing,"50 kilometres, Men",2134,Aleksandar Milenković,95448,DNF,,False
2006 Winter Olympics,49,SCG,Biathlon,"20 kilometres, Men",1600,Aleksandar Milenković,95448,85,,False
2006 Winter Olympics,49,SCG,Biathlon,"10 kilometres Sprint, Men",1599,Aleksandar Milenković,95448,85,,False
2006 Winter Olympics,49,SCG,Alpine Skiing,"Combined, Women",1510,Jelena Lolović,101749,DNF,,False
2006 Winter Olympics,49,SCG,Alpine Skiing,"Slalom, Women",1507,Marija Trmčić,110909,46,,False
2006 Winter Olympics,49,SCG,Alpine Skiing,"Slalom, Women",1507,Jelena Lolović,101749,43,,False
2006 Winter Olympics,49,SCG,Alpine Skiing,"Giant Slalom, Women",1504,Jelena Lolović,101749,30,,False
2006 Winter Olympics,49,SCG,Alpine Skiing,"Super G, Women",1503,Jelena Lolović,101749,43,,False
2006 Winter Olympics,49,SCG,Alpine Skiing,"Slalom, Men",1493,Želimir Vuković,111048,DQ,,False
2006 Winter Olympics,49,ROU,Bobsleigh,"Four, Men",467,Nicolae Istrate,110659,22,,True
2006 Winter Olympics,49,ROU,Bobsleigh,"Four, Men",467,Adrian Duminicel,101915,22,,True
2006 Winter Olympics,49,ROU,Bobsleigh,"Four, Men",467,Gabriel Popa,111011,22,,True
2006 Winter Olympics,49,ROU,Bobsleigh,"Four, Men",467,Ioan Dovalciuc,111012,22,,True
2006 Winter Olympics,49,ROU,Cross Country Skiing,"Sprint, Men",2135,Zsolt Antal,83655,65,,False
2006 Winter Olympics,49,ROU,Cross Country Skiing,"Sprint, Men",2135,Mihai Galiceanu,109854,69,,False
2006 Winter Olympics,49,ROU,Bobsleigh,"Two, Men",460,Mihai Iliescu,110666,26,,True
2006 Winter Olympics,49,ROU,Cross Country Skiing,"15 kilometres, Men",2130,Zsolt Antal,83655,61,,False
2006 Winter Olympics,49,ROU,Cross Country Skiing,"50 kilometres, Men",2134,Zsolt Antal,83655,46,,False
2006 Winter Olympics,49,ROU,Cross Country Skiing,"50 kilometres, Men",2134,Mihai Galiceanu,109854,DNS,,False
2006 Winter Olympics,49,ROU,Cross Country Skiing,"30 kilometres Skiathlon, Men",2131,Zsolt Antal,83655,47,,False
2006 Winter Olympics,49,ROU,Cross Country Skiing,"30 kilometres Skiathlon, Men",2131,Mihai Galiceanu,109854,63,,False
2006 Winter Olympics,49,ROU,Cross Country Skiing,"Team Sprint, Men",2152,Zsolt Antal,83655,21,,True
2006 Winter Olympics,49,ROU,Cross Country Skiing,"Team Sprint, Men",2152,Mihai Galiceanu,109854,21,,True
2006 Winter Olympics,49,ROU,Cross Country Skiing,"15 kilometres, Men",2130,Mihai Galiceanu,109854,72,,False
2006 Winter Olympics,49,CAN,Speed Skating,"Team Pursuit (8 laps), Men",1129,Justin Warsylewicz,109673,2,Silver,True
2006 Winter Olympics,49,CAN,Speed Skating,"Team Pursuit (8 laps), Men",1129,Jason Parker,110394,2,Silver,True
2006 Winter Olympics,49,CAN,Speed Skating,"Team Pursuit (8 laps), Men",1129,Denny Morrison,110381,2,Silver,True
